"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"TSC22D4",3.65717305208401e-20,-0.676205909726152,0.132,0.232,1.58362907501342e-15,"4"
"MAPKAP1",3.69637286567483e-20,0.252379529401654,0.34,0.239,1.60060337829451e-15,"4"
"PATJ",3.84516969691257e-20,-0.446332914463318,0.066,0.156,1.66503538215708e-15,"4"
"IPMK",3.86218894033845e-20,0.335403334976516,0.153,0.083,1.67240505494536e-15,"4"
"CAPS2",3.92949072351599e-20,-0.42066756706684,0.078,0.172,1.70154807309689e-15,"4"
"MBTD1",4.24032441222098e-20,0.32710120884036,0.279,0.188,1.83614527697993e-15,"4"
"VGLL4",4.48567709778957e-20,-0.595874307879818,0.223,0.329,1.94238789688484e-15,"4"
"C4orf19",4.51865740742885e-20,-0.413039896582042,0.037,0.116,1.95666903056484e-15,"4"
"HNRNPH1",4.55212544731396e-20,0.333602413343895,0.385,0.28,1.97116136119589e-15,"4"
"NCKAP5",4.80030180091946e-20,-0.639052051278833,0.276,0.377,2.07862668583415e-15,"4"
"NSMCE2",5.57121527036538e-20,0.310554898091252,0.429,0.32,2.41244763637362e-15,"4"
"FAM157C",5.62817507477809e-20,0.330423665254922,0.238,0.154,2.43711237088041e-15,"4"
"C1S",5.7264547003703e-20,-0.492091131235539,0.047,0.129,2.47966941435435e-15,"4"
"IFT43",5.7766860317738e-20,-0.383136093334325,0.063,0.152,2.50142058547869e-15,"4"
"MBD2",5.8278608110445e-20,0.406550107898336,0.223,0.14,2.52358028839849e-15,"4"
"DHRS7",6.50581039142226e-20,0.309038861487822,0.132,0.07,2.81714601569367e-15,"4"
"RALGAPA2",6.52366341078628e-20,0.353980639665699,0.454,0.352,2.82487673013867e-15,"4"
"LINC01473",6.56502820352499e-20,-0.452322013817567,0.027,0.1,2.84278851269039e-15,"4"
"CGGBP1",7.46539966098474e-20,0.366262261390377,0.243,0.157,3.23266736119961e-15,"4"
"SPRY2",7.78954186341459e-20,-0.382764037646718,0.028,0.103,3.37302741769579e-15,"4"
"CDH23",8.40076470533983e-20,-0.409572576817586,0.042,0.122,3.63769913270625e-15,"4"
"BNIP2",9.06413050354607e-20,0.670867768840743,0.18,0.107,3.92494979064552e-15,"4"
"RNH1",1.04725096454694e-19,0.813936705997995,0.144,0.08,4.53480612668116e-15,"4"
"UBA6-AS1",1.15723150945649e-19,-0.578273461268411,0.077,0.166,5.01104388224848e-15,"4"
"SNHG8",1.2575581423863e-19,0.265196808526176,0.11,0.054,5.44547826816117e-15,"4"
"ARL6IP5",1.43014430313036e-19,0.450581862541828,0.25,0.163,6.1928108614151e-15,"4"
"MALT1",1.51682968743149e-19,0.433999197420304,0.23,0.146,6.56817591251583e-15,"4"
"GAPDH",1.58172020488228e-19,0.940079996125204,0.517,0.417,6.84916483118123e-15,"4"
"IER2",1.5872552414469e-19,0.734901779066,0.117,0.059,6.87313264651338e-15,"4"
"PPP2R3C",1.79132063997542e-19,0.364905765475644,0.225,0.143,7.75677663522155e-15,"4"
"PDZD2",1.86433286298445e-19,-0.404796217178951,0.035,0.111,8.07293416329526e-15,"4"
"RPS13",1.87975996691159e-19,0.484778089779338,0.182,0.107,8.13973660872058e-15,"4"
"ENOX2",1.91300517686493e-19,0.254455396815242,0.144,0.077,8.28369501686051e-15,"4"
"FLOT2",1.94351858360701e-19,0.291493115819385,0.208,0.129,8.41582417073508e-15,"4"
"PCBP2",2.1808642940283e-19,0.709838573933659,0.303,0.215,9.44357856600134e-15,"4"
"LSM8",2.19597056792503e-19,0.265187943710667,0.137,0.073,9.50899175322894e-15,"4"
"USP39",2.2746704314037e-19,0.349428148215907,0.182,0.108,9.84977790206432e-15,"4"
"ACADVL",2.47801988071312e-19,-0.632255936655491,0.137,0.238,1.07303216874639e-14,"4"
"MAP4",2.69102453743628e-19,-0.546996153904718,0.283,0.387,1.16526744520066e-14,"4"
"HEATR5B",2.74699866430477e-19,0.280322019379827,0.246,0.16,1.18950536161725e-14,"4"
"ARHGAP12",2.86913215362608e-19,0.266861036917411,0.358,0.256,1.24239160516317e-14,"4"
